Year,City,Population (in Lakhs) (2011)+,Type,Crime Rate
2014,0,63.5,9,1.2913385826771653
2015,0,63.5,9,1.4803149606299213
2016,0,63.5,9,1.6220472440944882
2017,0,63.5,9,1.4173228346456692
2018,0,63.5,9,1.5433070866141732
2019,0,63.5,9,1.2755905511811023
2020,0,63.5,9,1.1023622047244095
2021,0,63.5,9,1.5275590551181102
2014,1,85.0,9,2.835294117647059
2015,1,85.0,9,2.764705882352941
2016,1,85.0,9,2.694117647058824
2017,1,85.0,9,2.764705882352941
2018,1,85.0,9,2.5647058823529414
2019,1,85.0,9,2.4
2020,1,85.0,9,2.1058823529411765
2021,1,85.0,9,1.8235294117647056
2014,2,87.0,9,1.8505747126436785
2015,2,87.0,9,1.7126436781609196
2016,2,87.0,9,1.528735632183908
2017,2,87.0,9,1.7701149425287357
2018,2,87.0,9,1.9770114942528736
2019,2,87.0,9,1.9770114942528736
2020,2,87.0,9,1.7241379310344829
2021,2,87.0,9,1.8505747126436785
2014,3,21.5,9,0.9767441860465116
2015,3,21.5,9,1.162790697674419
2016,3,21.5,9,1.255813953488372
2017,3,21.5,9,0.9767441860465116
2018,3,21.5,9,1.441860465116279
2019,3,21.5,9,1.813953488372093
2020,3,21.5,9,1.441860465116279
2021,3,21.5,9,1.3953488372093024
2014,4,163.1,9,2.8939301042305337
2015,4,163.1,9,2.942979767014102
2016,4,163.1,9,2.936848559166156
2017,4,163.1,9,2.452483139178418
2018,4,163.1,9,2.550582464745555
2019,4,163.1,9,3.096259963212753
2020,4,163.1,9,2.826486817903127
2021,4,163.1,9,2.7835683629675048
2014,5,23.6,9,3.0932203389830506
2015,5,23.6,9,2.754237288135593
2016,5,23.6,9,2.5
2017,5,23.6,9,2.2033898305084745
2018,5,23.6,9,2.2033898305084745
2019,5,23.6,9,2.0338983050847457
2020,5,23.6,9,0.9745762711864406
2021,5,23.6,9,1.059322033898305
2014,6,77.5,9,1.5225806451612902
2015,6,77.5,9,1.2258064516129032
2016,6,77.5,9,1.1096774193548389
2017,6,77.5,9,0.8258064516129032
2018,6,77.5,9,1.0451612903225806
2019,6,77.5,9,1.1096774193548389
2020,6,77.5,9,0.9161290322580644
2021,6,77.5,9,1.264516129032258
2014,7,21.7,9,4.055299539170507
2015,7,21.7,9,2.811059907834101
2016,7,21.7,9,2.672811059907834
2017,7,21.7,9,2.9493087557603688
2018,7,21.7,9,2.6267281105990783
2019,7,21.7,9,2.6267281105990783
2020,7,21.7,9,2.903225806451613
2021,7,21.7,9,2.488479262672811
